%year month day hour minute sea-level-height flag1 flag2
2004 01 11 11 00 0.115 0.001 0
2004 01 11 12 00 0.048 0.001 0
2004 01 11 13 00 0.001 0.001 0
2004 01 11 14 00 -0.047 0.008 0
2004 01 11 15 00 -0.082 0.002 0
2004 01 11 16 00 -0.093 0.003 0
2004 01 11 17 00 -0.098 0.002 0
2004 01 11 18 00 -0.086 0.003 0
2004 01 11 19 00 -0.057 0.004 0
2004 01 11 20 00 -0.011 0.003 0
2004 01 11 21 00 0.033 0.001 0
2004 01 11 22 00 0.064 0.003 0
2004 01 11 23 00 0.107 0.003 0
2004 01 12 00 00 0.146 0.002 0
2004 01 12 01 00 0.183 0.003 0
2004 01 12 02 00 0.199 0.005 0
2004 01 12 03 00 0.236 0.002 0
2004 01 12 04 00 0.249 0.004 0
2004 01 12 05 00 0.247 0.004 0
2004 01 12 06 00 0.248 0.003 0
2004 01 12 07 00 0.248 0.002 0
2004 01 12 08 00 0.218 0.002 0
2004 01 12 09 00 0.181 0.003 0
2004 01 12 10 00 0.153 0 0
2004 01 12 11 00 0.089 0 0
2004 01 12 12 00 0.044 0 0
2004 01 12 13 00 0.005 0.006 0
2004 01 12 14 00 -0.022 0.005 0
2004 01 12 15 00 -0.036 0.002 0
2004 01 12 16 00 -0.051 0.003 0
2004 01 12 17 00 -0.029 0.007 0
2004 01 12 18 00 -0.017 0.005 0
2004 01 12 19 00 -0.003 0.003 0
2004 01 12 20 00 0.034 0.003 0
2004 01 12 21 00 0.061 0.002 0
2004 01 12 22 00 0.097 0.003 0
2004 01 12 23 00 0.131 0.001 0
2004 01 13 00 00 0.148 0.004 0
2004 01 13 01 00 0.176 0.003 0
2004 01 13 02 00 0.192 0.003 0
2004 01 13 03 00 0.214 0.002 0
2004 01 13 04 00 0.214 0.005 0
2004 01 13 05 00 0.207 0.002 0
2004 01 13 06 00 0.217 0.001 0
2004 01 13 07 00 0.214 0.011 0
2004 01 13 08 00 0.210 0.006 0
2004 01 13 09 00 0.185 0.004 0
2004 01 13 10 00 0.140 0.008 0
2004 01 13 11 00 0.112 0.003 0
2004 01 13 12 00 0.099 0.002 0
2004 01 13 13 00 0.060 0.002 0
2004 01 13 14 00 0.038 0.003 0
2004 01 13 15 00 0.022 0.004 0
2004 01 13 16 00 0.019 0.003 0
2004 01 13 17 00 0.025 0.005 0
2004 01 13 18 00 0.039 0.003 0
2004 01 13 19 00 0.069 0.002 0
2004 01 13 20 00 0.107 0.002 0
2004 01 13 21 00 0.141 0.003 0
2004 01 13 22 00 0.162 0.003 0
2004 01 13 23 00 0.197 0.003 0
2004 01 14 00 00 0.223 0.001 0
2004 01 14 01 00 0.222 0.001 0
2004 01 14 02 00 0.216 0.006 0
2004 01 14 03 00 0.230 0.002 0
2004 01 14 04 00 0.227 0.002 0
2004 01 14 05 00 0.215 0.003 0
2004 01 14 06 00 0.192 0.005 0
2004 01 14 07 00 0.187 0.003 0
2004 01 14 08 00 0.174 0.005 0
2004 01 14 09 00 0.174 0.001 0
2004 01 14 10 00 0.170 0.005 0
2004 01 14 11 00 0.163 0.006 0
2004 01 14 12 00 0.156 0.002 0
2004 01 14 13 00 0.140 0.004 0
2004 01 14 14 00 0.132 0.004 0
2004 01 14 15 00 0.125 0.003 0
2004 01 14 16 00 0.137 0.005 0
2004 01 14 17 00 0.148 0.003 0
2004 01 14 18 00 0.159 0.003 0
2004 01 14 19 00 0.178 0.004 0
2004 01 14 20 00 0.200 0.003 0
2004 01 14 21 00 0.232 0.005 0
2004 01 14 22 00 0.254 0.003 0
2004 01 14 23 00 0.256 0.004 0
2004 01 15 00 00 0.255 0.003 0
2004 01 15 01 00 0.255 0.002 0
2004 01 15 02 00 0.243 0.004 0
2004 01 15 03 00 0.210 0.002 0
2004 01 15 04 00 0.192 0.004 0
2004 01 15 05 00 0.164 0.009 0
2004 01 15 06 00 0.148 0.003 0
2004 01 15 07 00 0.128 0.009 0
2004 01 15 08 00 0.126 0.005 0
2004 01 15 09 00 0.106 0.008 0
2004 01 15 10 00 0.099 0.002 0
2004 01 15 11 00 0.113 0.004 0
2004 01 15 12 00 0.108 0.003 0
2004 01 15 13 00 0.123 0.003 0
2004 01 15 14 00 0.146 0.006 0
2004 01 15 15 00 0.148 0.004 0
2004 01 15 16 00 0.169 0.006 0
2004 01 15 17 00 0.180 0.007 0
2004 01 15 18 00 0.189 0.002 0
2004 01 15 19 00 0.199 0.003 0
2004 01 15 20 00 0.232 0.005 0
2004 01 15 21 00 0.247 0.006 0
2004 01 15 22 00 0.239 0.006 0
2004 01 15 23 00 0.239 0.007 0
2004 01 16 00 00 0.245 0.003 0
2004 01 16 01 00 0.215 0.005 0
